,Datetime,TweetId,Texto,Username,Idioma,Palavra,UserDescription,UserDescriptionRaw,FriendsCount,Status,Retweet,Quoted
0,2017-10-07 23:59:23+00:00,916815248807682053,@alefrotabrasil Vai pegar é num cacete esse baitola!,mantoniogs,pt,baitola,"brazilian, male, lawyer, former Navy Officer and very very right wing!","brazilian, male, lawyer, former Navy Officer and very very right wing!",1226,10152,,
1,2017-10-07 23:24:14+00:00,916806401875415040,"Acabei de fazer um macarrão mó gostoso aqui em casa, e o baitola do gabil me manda essa...",lallymendonca,pt,baitola,''Tudo o que eu lembro é o que perdi.'' disse o Deus da guerra.,''Tudo o que eu lembro é o que perdi.'' disse o Deus da guerra.,155,6627,,
2,2017-10-07 23:04:33+00:00,916801448775766016,"Se você é do time que toma caipira com limão sem casca, pode se considerar uma baitola",JackPool_,pt,baitola,Everything is a copy of a copy of a copy,Everything is a copy of a copy of a copy,129,16678,,
3,2017-10-07 22:15:56+00:00,916789215635140608,@cartacapital Esse baitola não usa a Bíblia,motorhead_jr,pt,baitola,"Brasil acima de todos, DEUS ACIMA DE TUDO.","Brasil acima de todos, DEUS ACIMA DE TUDO.",666,5486,,
4,2017-10-07 22:05:50+00:00,916786671466803201,@AlvesPauloP @thyagoleyte Sai daí baitola,Renan58126912,pt,baitola,👴🏼⚫️⚪️,👴🏼⚫️⚪️,78,1151,,
5,2017-10-07 21:56:21+00:00,916784284660326400,"Dá mais cinco minutos, seu baitola!",mateusmmarques,pt,baitola,"Combativo, aguerrido, vibrante e forte. Sem demonstrar cansaço! #TeAmo @fortalezaec","Combativo, aguerrido, vibrante e forte. Sem demonstrar cansaço! #TeAmo @fortalezaec",1350,100148,,
6,2017-10-07 21:43:14+00:00,916780985244704768,@Jackson_Ivan te sento a vara mlq baitola,sepgarrido,pt,baitola,🙏🏻,🙏🏻,392,164643,,
7,2017-10-07 21:31:14+00:00,916777966977404928,Hoje vi o baitola do Daniel lmao,002silvatiago,pt,baitola,DTB ⛓🪙,DTB ⛓🪙,175,9303,,
8,2017-10-07 21:14:36+00:00,916773779661082625,@matheeeusbrito Tá onde seu baitola?,FelipeSobrinho9,pt,baitola,,,505,7753,,
9,2017-10-07 20:07:54+00:00,916756993469243392,"Que fique transparente:
EU NÃO GOSTO DE SER O AMIGO BAITOLA DE MULHERES.
Mulheres me observam como amigo gay e não como uma pessoa desejável",Marcelo_AlvesL,pt,baitola,"Procurando a razão para viver. Sigo então de forma mecânica. Ora Marcelo, ora Marck.","Procurando a razão para viver. Sigo então de forma mecânica. Ora Marcelo, ora Marck.",209,27633,,
10,2017-10-07 19:00:00+00:00,916739907334307841,Baitola - VEM CONFERIR Saio Pequeno Monstro do Meu Parça - 07/10/2017: https://t.co/MVdwAvOwEz via @YouTube,conquistadordf,pt,baitola,,,1764,6530,,
11,2017-10-07 17:59:31+00:00,916724685718552580,fui pegar guardanapo pra rubens e qnd voltei aday tava me olhando aí eu falei o q foi menino tu é baitola é? aí ele nicole tu é mt engraçada,nlcolemota,pt,baitola,surtos leves e tenis,surtos leves e tenis,324,41327,,
12,2017-10-07 16:54:28+00:00,916708314746105856,"@sccpmarcos_ Ah, vai dar o boga seu baitola",WesleiKaio,pt,baitola,snap:kaiowribeiro,snap:kaiowribeiro,144,962,,
13,2017-10-07 16:04:22+00:00,916695704852226048,"@HudPermanhane Rapaz vc tá igual um baitola chorando em rede social, sai dessa vida",bielperma,pt,baitola,Procurando encontrar uma direção nesse mundo de ilusão..,Procurando encontrar uma direção nesse mundo de ilusão..,269,1536,,
14,2017-10-07 15:46:36+00:00,916691235565338624,@amantedoceu @Succuba__ Meu cu eh meu e Black eh de baitola,orochimatt,pt,baitola,apenas o básico          | 🏳️‍⚧️,apenas o básico          | 🏳️‍⚧️,736,159777,,
15,2017-10-07 14:37:33+00:00,916673859247538176,@veicknayara Baitola tô c sdd,jubicalimann,pt,baitola,"gosto de apanhar de mulher bonita.

ela/dela


✨Fan account","gosto de apanhar de mulher bonita.

ela/dela


✨Fan account",427,15275,,
16,2017-10-07 13:46:31+00:00,916661016699834368,eu to mt baitola bicho,quaresmina,pt,baitola,belchior ou era uma vez o homem e seu tempo,belchior ou era uma vez o homem e seu tempo,235,29341,,
17,2017-10-07 07:34:40+00:00,916567434685009925,"@beenyoujbz kkkkkkkkkkkk futebol raiz, fica falando bem de rival é pra baitola",saopaulfc,pt,baitola,@SaoPauloFC #44 #TeamLH @LewisHamilton,@SaoPauloFC #44 #TeamLH @LewisHamilton,695,104461,,
18,2017-10-07 06:56:47+00:00,916557904416837632,@sadayuki_iago Kkkkkkkkkkkkkkkkk crl parecem duas baitola brigando,ll_llennon,pt,baitola,"1970, 1984, 2010, 2012","1970, 1984, 2010, 2012",707,56248,,
19,2017-10-07 05:57:31+00:00,916542989102657542,droga fico muito baitola com o tete😨😨😨😨😨,yjsgirIfriend,pt,baitola,@mybfjun,@mybfjun,70,124869,,
20,2017-10-07 05:45:18+00:00,916539911314001920,@sehungwon mano 280 caracteres pra eu ser baitola com os bias quem aguentaria,wanggukie,pt,baitola,[ENG SUB FULL] ASTRO DOCCA 160810 - Catching Cicada,[ENG SUB FULL] ASTRO DOCCA 160810 - Catching Cicada,250,91353,,
21,2017-10-07 05:31:24+00:00,916536414342393856,"@jairbolsonaro Não sabia que o @andrizek era baitola. Falou mal do Bolsonaro, pau nele. Ihhhh, acho que ele vai gostar...",gustavodetarso,pt,baitola,"1 Graduado em Medicina;
2 Pós-Especialização em Medicina do Trabalho;
3 Perito Médico Previdenciário 
4 Mestrando em Genética na UnB. 
5 Emergencista.","1 Graduado em Medicina;
2 Pós-Especialização em Medicina do Trabalho;
3 Perito Médico Previdenciário 
4 Mestrando em Genética na UnB. 
5 Emergencista.",349,2712,,
22,2017-10-07 04:37:21+00:00,916522811442782209,@pimkfriday ah lambe meu pauzao baitola,gagaconception,pt,baitola,ATENÇÃO MUDEI DE CONTA TO NA @cobainguns,ATENÇÃO MUDEI DE CONTA TO NA @cobainguns,219,25595,,
23,2017-10-07 02:39:30+00:00,916493154987192320,ultrapasso todos os limite de baitola quando o assunto e tzuyu dando mute em mim mesma,vminatozaki,pt,baitola,Jung Kook is still a baby... ///vmin + minatozaki,Jung Kook is still a baby... ///vmin + minatozaki,160,14172,,
24,2017-10-07 02:35:57+00:00,916492262560976896,"Ver jiu-jitsu no UFC é foda, me amarro, agora tu vai jogar UFC no X-box a máquina te leva pro chão ""VSFD LUTA BAITOLA, VEM PRA MÃO CUSÃO""",Wesley_Guio,pt,baitola,*1.9.9.7* DDD 21 🏖 R.A.P TESTEMUNHA DE DJONGA @May_olsilv 💍,*1.9.9.7* DDD 21 🏖 R.A.P TESTEMUNHA DE DJONGA @May_olsilv 💍,814,54818,,
25,2017-10-07 02:30:56+00:00,916490998951350273,"eu so """"""gostei pq eh o yixing e e sou baitola se fosse outra pessoa ja tinha saido na porrada",06hyuckz,pt,baitola,baekhyun beijando a carequinha do kyungsoo,baekhyun beijando a carequinha do kyungsoo,73,4624,,
26,2017-10-07 02:17:24+00:00,916487593407238145,@Th1ago_Souza @fred_b12 fred eh baitola.. ele da o cu todo dia,augustorosa81,pt,baitola,"Flamenguista, Mineiro no RG, Carioca de Alma, morando no Interior Paulista!!
Obrigado!

Insta: clarindorock
Youtube: X","Flamenguista, Mineiro no RG, Carioca de Alma, morando no Interior Paulista!!
Obrigado!

Insta: clarindorock
Youtube: X",2270,16495,,
27,2017-10-07 02:08:18+00:00,916485305234059264,"@patymlr @lijazinha teu cu baitola, tu vai é pra amontada",duduzento,pt,baitola,i didn't ask to be born latina nomás tuve suerte,i didn't ask to be born latina nomás tuve suerte,232,19525,,
28,2017-10-07 02:02:29+00:00,916483838188179456,to muito baitola pelo cheol..,dnwmuri,pt,baitola,,,246,24345,,
29,2017-10-07 01:57:02+00:00,916482466214481921,eai baitola sdds — eaiii mano sdds https://t.co/XonZ6de6Vm,kevili_f,pt,baitola,,,238,13540,,
30,2017-10-07 01:56:44+00:00,916482392252141568,"Não vejo uma feminista sequer defendendo esse tipo de vítima. Porque o safado é baitola, ele tem todo aparo de... https://t.co/TT1mGYKPOx",DaviDiniz4,pt,baitola,Aidento 💀,Aidento 💀,226,21986,,
31,2017-10-07 01:32:43+00:00,916476347115073537,Diga logo que ele não é pai baitola,isadora_rc,pt,baitola,sei lá,sei lá,468,157830,,
32,2017-10-07 01:23:12+00:00,916473953857736704,@emilylongo_ Mano para isso é coisa de baitola!,ErikaCasaGrand4,pt,baitola,💚🐷 - 📿♈️,💚🐷 - 📿♈️,186,18932,,
33,2017-10-07 00:32:57+00:00,916461309595717632,sinto saudades de certa pessoa porem noa correrei atras pq isso é coisa de baitola,taeseoksex,pt,baitola,#HOSEOK: my suga!!,#HOSEOK: my suga!!,7384,63165,,
34,2017-10-07 00:30:37+00:00,916460721411682305,"@MarcosLeandro0 @m22Moreira Cuzão meu pau na sua mão, vou brotar o dia ainda ñ acabou seu baitola me chupa minha fêmea",Edersonsilva22,pt,baitola,ACIMA DE TUDO RUBRO NEGRO 🔴⚫ @flamengo Ista: ederson_trovaao 📸,ACIMA DE TUDO RUBRO NEGRO 🔴⚫ @flamengo Ista: ederson_trovaao 📸,943,4375,,
35,2017-10-06 23:29:41+00:00,916445387514351621,@g1 Mais um baitola,motorhead_jr,pt,baitola,"Brasil acima de todos, DEUS ACIMA DE TUDO.","Brasil acima de todos, DEUS ACIMA DE TUDO.",666,5486,,
36,2017-10-06 23:28:45+00:00,916445151526117376,@blackmanbah @brendanielski @EncontroFatima Falow bixinha arrombado opinião de baitola não me interessa seu fresco,UgleisomSnipper,pt,baitola,Falo na cara pode me bloquear Mil vezes Que 100 Vezes Voltarei Mais Forte NSapohaaa,Falo na cara pode me bloquear Mil vezes Que 100 Vezes Voltarei Mais Forte NSapohaaa,387,1872,,
37,2017-10-06 23:12:25+00:00,916441039568887808,@OseasVitorino Já errou Oséas baitola. Hahaha,Giorgio_ASO,pt,baitola,Sagaz,Sagaz,2359,2233,,
38,2017-10-06 21:59:10+00:00,916422605493669889,"@TcFlu blz entao, fure nao baitola",CleanthoG,pt,baitola,,,159,982,,
39,2017-10-06 21:19:51+00:00,916412714733498370,"@flp96_ Cola mais tarde baitola kkkkkkkkkk o Dedeu vai colar 21:00 pra ajudar a limpar, cola umas 22:00 e não fala assim da quebradaaaaaaa",bibancooovitor,pt,baitola,"1 POR ♥
2 POR 💰","1 POR ♥
2 POR 💰",255,12153,,
