,Unnamed: 0.1,Unnamed: 0,Datetime,TweetId,Texto,Username,Idioma,Palavra,UserDescription,UserDescriptionRaw,FriendsCount,Status,Retweet,Quoted,toxidade,Texto-Limpo
0,0,0,2018-10-07 23:48:49+00:00,1049084161565384704,"@LeonardoMaxwell @DaniloGentili @jeanwyllys_real Se não for Venezuela é Cuba! Nunca vi um povo tão burro quanto o Nordeste, ficam mamando no povo sulista enquanto nós trabalhamos para recuperar a economia e colocar o Brasil em patamar competitivo mundial. Palmeirense baitola, 51 é pinga porcada.",MatheusCampacci,pt,baitola,’O sucesso é a consequência daqueles que mergulham de cabeça para encarar os grandes desafios e se dedicam para alcançar o impossível.” Autor Matheus Campacci,’O sucesso é a consequência daqueles que mergulham de cabeça para encarar os grandes desafios e se dedicam para alcançar o impossível.” Autor Matheus Campacci,11,22,,,1,"Se não for Venezuela é Cuba! Nunca vi um povo tão burro quanto o Nordeste, ficam mamando no povo sulista enquanto nós trabalhamos para recuperar a economia e colocar o Brasil em patamar competitivo mundial. Palmeirense baitola, 51 é pinga porcada."
1,1,1,2018-10-07 23:47:56+00:00,1049083939221061632,"@najabuterx nojo de viado, vem que eu vou te quebrar no meio seu baitola",dojacolucci,pt,baitola,,,996,30171,,,1,"nojo de viado, vem que eu vou te quebrar no meio seu baitola"
2,2,2,2018-10-07 23:31:12+00:00,1049079725434556422,@samuelpitangui @Gabrielly9Sousa @ThiagoX204 @Julia_Esteffane @matruvas @mikaellbjj Se tá muito é do baitola,ThiagoFresh,pt,baitola,,,587,2262,,,1,Se tá muito é do baitola
3,3,3,2018-10-07 23:10:30+00:00,1049074518633930752,@Lucas_Moreschi_ mano que baitola kkkkkkkkkkkkkkkkkkk,_AnneVitoria_,pt,baitola,𝒬𝑢𝑒 𝐷𝑒𝑢𝑠 𝑚𝑒 𝑙𝑖𝑣𝑟𝑒 𝑑𝑎𝑠 𝑚𝑎𝑙𝑑𝑎𝑑𝑒𝑠 𝑒 𝑚𝑒 𝑔𝑢𝑖𝑒 𝑜𝑛𝑑𝑒 𝑞𝑢𝑒𝑟 𝑞𝑢𝑒 𝑒𝑢 𝑣𝑎́ ......📿🌹 @tavares_041 💍,𝒬𝑢𝑒 𝐷𝑒𝑢𝑠 𝑚𝑒 𝑙𝑖𝑣𝑟𝑒 𝑑𝑎𝑠 𝑚𝑎𝑙𝑑𝑎𝑑𝑒𝑠 𝑒 𝑚𝑒 𝑔𝑢𝑖𝑒 𝑜𝑛𝑑𝑒 𝑞𝑢𝑒𝑟 𝑞𝑢𝑒 𝑒𝑢 𝑣𝑎́ ......📿🌹 @tavares_041 💍,1317,30467,,,0,mano que baitola kkkkkkkkkkkkkkkkkkk
4,4,4,2018-10-07 23:07:39+00:00,1049073800082587650,"@brasildevolta Mais fácil o irmão dela Cid(a) que é baitola, baitola de não se segurar.",DarthWehmann,pt,baitola,,,4461,18017,,,1,"Mais fácil o irmão dela Cid(a) que é baitola, baitola de não se segurar."
5,5,5,2018-10-07 22:55:00+00:00,1049070617939599360,"@itlovatoahs @cc1lmj Ciro - ele chamou um opositor de “baitola”. E, em fevereiro de 2017, Ciro enxotou manifestantes que protestavam em frente a sua casa, chamando os carinha de “viados”.
Ciro - João Doria seria “um viado com areia no cu”.",WayneStalony,pt,baitola,JESUS É O DONO DO LUGAR 🎴 ㅤㅤㅤㅤㅤㅤ🔥,JESUS É O DONO DO LUGAR 🎴 ㅤㅤㅤㅤㅤㅤ🔥,3462,16706,,,1,"Ciro - ele chamou um opositor de “baitola”. E, em fevereiro de 2017, Ciro enxotou manifestantes que protestavam em frente a sua casa, chamando os carinha de “viados”. Ciro - João Doria seria “um viado com areia no cu”."
6,6,6,2018-10-07 22:45:38+00:00,1049068260912766977,"ET- tava cm sdd de ti baitola, vi ontem na fena, sdd dos role na mansão abandonada kkkkkk tmj❤️",joaoeduaardo_,pt,baitola,13•09•1996🤴🏾,13•09•1996🤴🏾,499,50882,,,0,"ET- tava cm sdd de ti baitola, vi ontem na fena, sdd dos role na mansão abandonada kkkkkk tmj❤️"
7,7,7,2018-10-07 22:33:40+00:00,1049065248278437893,"A gente não é gay pq queremos, nascemos assim!!Vocês acham que a gente não queria ser ""normal""? Não é legal sair na rua é ser chamado de Viado, viadinho, baitola.. etc.",italozimer,pt,baitola,instagram.com/italozimer/?hl…,https://t.co/qRZUaTKvva…,862,12298,,,1,"A gente não é gay pq queremos, nascemos assim!!Vocês acham que a gente não queria ser ""normal""? Não é legal sair na rua é ser chamado de Viado, viadinho, baitola.. etc."
8,8,8,2018-10-07 22:06:27+00:00,1049058398770216960,Esse baitola vai ganhar e eu me mudo pro Acre,NatliaSiqueira7,pt,baitola,🤠/ insta: natalia_sique // 19y// 12/02 💍,🤠/ insta: natalia_sique // 19y// 12/02 💍,1410,47715,,,1,Esse baitola vai ganhar e eu me mudo pro Acre
9,9,9,2018-10-07 21:55:02+00:00,1049055527244890113,"sério, n entendo como conseguem apoiar o Ciro Gomes, um cara que chamou um negro de ""capitão do mato"",  falou também que a esposa dele servia apenas p dormir com ele. Chamou seus opositores de ""baitola"" e chamou também manifestantes que protestavam em frente à sua casa de+",gilmarr_jr,pt,baitola,,,795,5535,,,1,"sério, n entendo como conseguem apoiar o Ciro Gomes, um cara que chamou um negro de ""capitão do mato"", falou também que a esposa dele servia apenas p dormir com ele. Chamou seus opositores de ""baitola"" e chamou também manifestantes que protestavam em frente à sua casa de+"
