,Unnamed: 0,id,Datetime,TweetId,Texto,Username,Idioma,Palavra,UserDescription,UserDescriptionRaw,FriendsCount,Status,Retweet,Quoted,toxidade,Texto-Limpo,HateSpeech,rotulagem-manual,rotulagem
0,1,1,2018-10-07 23:47:56+00:00,1049083939221061632,"@najabuterx nojo de viado, vem que eu vou te quebrar no meio seu baitola",dojacolucci,pt,baitola,,,996,30171,,,1,"nojo de viado, vem que eu vou te quebrar no meio seu baitola",yes,,yes
1,10,10,2018-10-07 21:29:30+00:00,1049049100078014465,"Caralho a senhora operada 
A senhora com um puta carisma pede desculpa ainda
Retardada do caralho fdp baitola fdp hpv tre",joeyporto79,pt,baitola,neo-humorista e dono do fãclube oficial do adam sandler comedian sommelier,neo-humorista e dono do fãclube oficial do adam sandler comedian sommelier,1081,152740,,,1,Caralho a senhora operada A senhora com um puta carisma pede desculpa ainda Retardada do caralho fdp baitola fdp hpv tre,yes,,r
2,11,11,2018-10-07 21:20:34+00:00,1049046853151576069,"@_fabianoestrela tu vai ter um orgasmo, baitola",tripsbabo,pt,baitola,AQUI É GRÊMIO!! 🇪🇪🇪🇪🇪🇪🇺🇾 Eng. Ambiental e Sanitária - UFPR,AQUI É GRÊMIO!! 🇪🇪🇪🇪🇪🇪🇺🇾 Eng. Ambiental e Sanitária - UFPR,478,88069,,,0,"tu vai ter um orgasmo, baitola",yes,,r
3,13,13,2018-10-07 20:56:40+00:00,1049040838544822272,"meu pai: pablo para de falar assim coisa de baitola

pai????? https://t.co/6k9SMX1OU7",isakyaki0,pt,baitola,pirata,pirata,883,20682,,,1,meu pai: pablo para de falar assim coisa de baitola pai?????,yes,,r
4,17,17,2018-10-07 20:06:40+00:00,1049028253787324418,@Tomazine420 @10Ronaldinho Tá em choque seu baitola,marcosmarcosfm8,pt,baitola,,,89,207,,,1,Tá em choque seu baitola,yes,,r
5,19,19,2018-10-07 19:57:13+00:00,1049025877596504064,@Derpmau5_ eu mesma quando um idiota chamou o mesario de baitola,cavalinhodeasas,pt,baitola,,,262,16226,,,1,eu mesma quando um idiota chamou o mesario de baitola,yes,,r
6,23,23,2018-10-07 17:53:53+00:00,1048994838622982144,@betoxi_ Aaah seu baitola é assim nerrr. Se fosse de bike era a primeira a fazer inscrição !!,LaarisSaantos,pt,baitola,Vou logo avisando só falo do @fortalezaec !,Vou logo avisando só falo do @fortalezaec !,504,26539,,,1,Aaah seu baitola é assim nerrr. Se fosse de bike era a primeira a fazer inscrição !!,yes,,r
7,26,26,2018-10-07 17:05:03+00:00,1048982547311595522,"@Netao08 Some daqui seu baitola, q tu só quer rt",luannaGomes08,pt,baitola,ninguém liga more🪬,ninguém liga more🪬,655,24714,,,1,"Some daqui seu baitola, q tu só quer rt",yes,,r
8,29,29,2018-10-07 16:43:25+00:00,1048977103847342087,"@letsbeobscene @paulet182 toma demônio, baitola",MADanononymous,pt,baitola,so what?,so what?,375,884,,,1,"toma demônio, baitola",yes,,r
9,32,32,2018-10-07 16:15:41+00:00,1048970123615330304,@chico_pinheiro @LeneSouzinhaa É um baitola,vannabrasil,pt,baitola,"gari, separo o lixo reciclável e contribuo para o respiro do planeta.","gari, separo o lixo reciclável e contribuo para o respiro do planeta.",953,16219,,,1,É um baitola,yes,,r
10,33,33,2018-10-07 16:08:55+00:00,1048968421214498821,"mulher falando que votou no coiso pq vai acabar com tanta gaysisse, pq ela quer ter um filho e não quer que fique nesse país cheio de baitola...
MAS NÃO, NÃO É DISCURSO DE ÓDIO NÃO",kakauwho,pt,baitola,sobrevivendo no inferno - ela/dela,sobrevivendo no inferno - ela/dela,98,10811,,,1,"mulher falando que votou no coiso pq vai acabar com tanta gaysisse, pq ela quer ter um filho e não quer que fique nesse país cheio de baitola... MAS NÃO, NÃO É DISCURSO DE ÓDIO NÃO",yes,,r
11,34,34,2018-10-07 16:03:33+00:00,1048967070333984768,@ericsevla Tu é baitola é,ladyzuda,pt,baitola,vivendo ou apenas existindo? 🤷🏼‍♀️,vivendo ou apenas existindo? 🤷🏼‍♀️,2802,91957,,,1,Tu é baitola é,yes,,r
12,37,37,2018-10-07 14:14:49+00:00,1048939709148405762,Gostei de um vídeo @YouTube https://t.co/MS0JUVroD3 SOU BAITOLA (PARODIA MC BRUNINHO - JOGO DO AMOR),ewerton14anos,pt,baitola,"""C0L4 3M M1M QU3 SUC3SS0""","""C0L4 3M M1M QU3 SUC3SS0""",87,2023,,,0,Gostei de um vídeo SOU BAITOLA (PARODIA MC BRUNINHO - JOGO DO AMOR),yes,,r
13,38,38,2018-10-07 13:47:50+00:00,1048932917798457344,Tmj Junto meu Piazinho kkkk Baitola https://t.co/xQidgpeiLJ,AllyssonGoulart,pt,baitola,"Snap: alisson1Goulart
Face: Alisson Goulart
Insta: Goulart_alisson
😌🍃☝","Snap: alisson1Goulart
Face: Alisson Goulart
Insta: Goulart_alisson
😌🍃☝",525,8479,,,0,Tmj Junto meu Piazinho kkkk Baitola,yes,,r
14,39,39,2018-10-07 13:29:37+00:00,1048928335215169541,@VEJA Esse baitola vai pra lugar algum,vilaca_sergio,pt,baitola,Vasco da Gama✌ Fjv!,Vasco da Gama✌ Fjv!,236,12704,,,1,Esse baitola vai pra lugar algum,yes,,r
15,43,43,2018-10-07 09:39:50+00:00,1048870508245241856,@betoxi_ Tu é doido baitola kkkk,LaarisSaantos,pt,baitola,Vou logo avisando só falo do @fortalezaec !,Vou logo avisando só falo do @fortalezaec !,504,26539,,,1,Tu é doido baitola kkkk,yes,,r
16,44,44,2018-10-07 06:39:20+00:00,1048825083194724352,"@jbanguela O baitola acabou com a maquiagem da mãe,vai apanhar muito quando ela chegar do rolê.",erbettribeiro,pt,baitola,"Um flamenguista deste  que fui gerado e um apreciador de lindas mulheres e mais que  isto, um apaixonado  por elas!","Um flamenguista deste  que fui gerado e um apreciador de lindas mulheres e mais que  isto, um apaixonado  por elas!",296,15527,,,1,"O baitola acabou com a maquiagem da mãe,vai apanhar muito quando ela chegar do rolê.",yes,,r
17,45,45,2018-10-07 06:29:12+00:00,1048822530683883520,sou baitola demais :(((((( https://t.co/qX04anowx2,teiguk,pt,baitola,jungkook.97 & thv,jungkook.97 & thv,242,123183,,https://twitter.com/teiguk/status/1048822316065542145,0,sou baitola demais :((((((,yes,,r
18,46,46,2018-10-07 06:11:10+00:00,1048817992346324992,foda que eu sou baitola até quando to dodói ://,jeonciet,pt,baitola,⠀  ⠀⠀1997.ᅠ,⠀  ⠀⠀https://t.co/dFhbbp7Y3o,450,162169,,,0,foda que eu sou baitola até quando to dodói ://,yes,,r
