,tweet,data,rt,quote
0,@Leo_TVeCinema @linndaquebrada @juliette amo as winners,2022-06-06 13:54:20+00:00,,
1,@camilodiniz existe outra forma de conseguir as garantias legais que um casamento dá para um relacionamento?,2022-06-05 23:31:35+00:00,,
2,o que aconteceu que Anitta tá tão triste e pedindo um milagre?,2022-06-05 23:26:16+00:00,,
3,@KiwiLover6 amigo se eu descobrir eu te falo,2022-06-05 15:53:11+00:00,,
4,CONSEGUI OS EPISÓDIOS DE TRIXIE MOTEL!,2022-06-05 15:47:37+00:00,,
5,"gente alguém me edifica com a fofoca do surubão no bar de cg, por favor!!!!",2022-06-05 15:42:51+00:00,,
6,@lifeoftophee @matheusnotwit @leiomy What was the add ons?,2022-06-04 16:17:41+00:00,,
7,"@samapios Se tiver vaga pra junior, to me formando esse semestre!",2022-06-03 21:22:05+00:00,,
8,"Me bateu uma curiosidade de saber preço de passagem/pacote de viagem internacional e eu estou chocado. Pq danado só sai voo internacional de São Paulo??

Eu tenho certeza que para alguns destinos, se o voo saísse do nordeste ia ser bem mais rápido.",2022-06-03 15:05:16+00:00,,
9,"@matheusnotwit @leiomy Ele fez outra coisa errada, ou é o de sempre mesmo?",2022-06-03 12:52:01+00:00,,
10,"A primeira semana malhando é uma tortura, não consigo mexer nenhuma parte do meu corpo direito",2022-06-01 13:02:35+00:00,,
11,@eduardopds Amigo tô no mesmo barco,2022-05-30 14:25:34+00:00,,
12,"Eu num ligo em me acordar cedo n, mas comer a essa hora é impossível!",2022-05-30 10:11:41+00:00,,
13,Pense numa temporada ruim essa última de Elite!,2022-05-29 02:22:14+00:00,,
14,"EU ODEIO ESSE CLIMA

Me dá meus dias ensolarados de volta!!!!!!",2022-05-28 12:56:27+00:00,,
15,@talaritaa O tu ia fazer fazer na ufcg tão cedo num sábado?,2022-05-28 12:24:42+00:00,,
16,@M4dmari CARALHO!!!!! FICOU PERFEITA,2022-05-28 00:12:26+00:00,,
17,"Eu tô chocado que a galera acha o João Guilherme feio

Deve ser as mesmas pessoas que acham o Tom Holland bonito
Melhorem",2022-05-27 23:41:22+00:00,,
18,"@lukehxh Oh amigo e eu ainda vou entrar, é surto e medo todo dia",2022-05-27 03:01:45+00:00,,
19,Essas demissões me fizeram pensar em não desistir mais do mestrado.,2022-05-26 23:37:07+00:00,,
