Datetime,TweetId,Text,Username,Language
2018-10-07 23:59:19+00:00,1049086802810863616,"@beccapires bicha, vai votar!!!!",maribzer,pt
2018-10-07 23:59:14+00:00,1049086782543998977,@luccavivacqua A bicha ia ser o cara q fica escondido na moita lek,NemaAreco,pt
2018-10-07 23:59:12+00:00,1049086774214103042,"@jjkpjmagic @jiminaoleite Tu não disse isso. Tem que ser brasileiro mesmo, o bicha burra do caralho. Não se tá zuando né? Só pode né o embuste. Que merda se tem na cabeça o Caraí, de que mundo vc veio.",Min_YoonHan,pt
2018-10-07 23:58:43+00:00,1049086651874639873,@meckellynha bicha estressada,Gabrielacrvg7,pt
2018-10-07 23:58:43+00:00,1049086651270610947,Agora virei petista bicha,tjkarokx,pt
2018-10-07 23:57:32+00:00,1049086355563859969,Eu adoro as bicha social midia com a barba desenhada falando que o nordeste é maravilhoso mas só tira férias com o namoradinho da agência em miami ou na itália passar um find em Acopiara no Ceára ninguém quer né rs,MeioSemTempo,pt
2018-10-07 23:56:33+00:00,1049086106950688768,GENTE COMO ASSIM O CIRO NÃO FOI ELEITO NO PRIMEIRO TURNO TODOS OS PERFIS DE KPOP E DE BICHA FAROFEIRA DO TWITTER USA ESSE ICONE ESTOU PASSADA....,MoscowSyck,pt
2018-10-07 23:56:19+00:00,1049086046670151680,"Vei, acabei de ver viado dizendo que não  fará  camapanha pra Haddad. BICHA SE INTERNA OU VAI PRO SUL, tu não ta entendendo as proporções das coisas.",euris,pt
2018-10-07 23:54:02+00:00,1049085472658653184,"@rosentaldouglas Se o Requião,o Beto bicha e a Gleisi entrassem eu nunca mais voltaria para o Paraná",geminianiinha,pt
2018-10-07 23:53:49+00:00,1049085418023636994,@DriiehViik Daqui a pouco dar uma ventania vc voa junto 😂😂😂😂😂 vai comer bicha !,Vivi_Preta,pt
